"","sample_size","CS","CS_relaxed","Cheb","Gauss"
"1",10,0,0.028,0,0.085
"2",11,0,0.025,0,0.083
"3",12,0,0.019,0,0.082
"4",13,0,0.015,0,0.079
"5",14,0,0.017,0,0.076
"6",15,0,0.019,0,0.069
"7",16,0,0.012,0,0.066
"8",17,0.001,0.014,0,0.075
"9",18,0.002,0.008,0,0.068
"10",19,0.002,0.005,0,0.069
"11",20,0.001,0.006,0,0.077
"12",21,0.001,0.006,0,0.072
"13",22,0.001,0.005,0,0.067
"14",23,0.001,0.004,0,0.064
"15",24,0.001,0.008,0,0.067
"16",25,0.001,0.006,0,0.066
"17",26,0.001,0.005,0,0.06
"18",27,0,0.005,0,0.06
"19",28,0,0.004,0,0.06
"20",29,0,0.004,0,0.061
"21",30,0,0.004,0,0.061
"22",31,0,0.003,0,0.06
"23",32,0,0.003,0,0.054
"24",33,0,0.002,0,0.056
"25",34,0,0.002,0,0.063
"26",35,0,0.001,0,0.052
"27",36,0,0.001,0,0.05
"28",37,0,0.001,0,0.052
"29",38,0,0.001,0,0.049
"30",39,0,0.001,0,0.051
"31",40,0,0.001,0,0.052
"32",41,0,0,0,0.053
"33",42,0,0,0,0.049
"34",43,0,0.001,0,0.044
"35",44,0,0.001,0,0.044
"36",45,0,0.001,0,0.047
"37",46,0,0.001,0,0.045
"38",47,0,0.001,0,0.048
"39",48,0,0.001,0,0.049
"40",49,0,0.001,0,0.047
"41",50,0,0.001,0,0.043
"42",51,0,0.001,0,0.053
"43",52,0,0.001,0,0.053
"44",53,0,0.001,0,0.05
"45",54,0,0,0,0.052
"46",55,0,0,0,0.054
"47",56,0,0,0,0.053
"48",57,0,0,0,0.053
"49",58,0,0,0,0.052
"50",59,0,0,0,0.05
"51",60,0,0,0,0.053
"52",61,0,0,0,0.056
"53",62,0,0,0,0.052
"54",63,0,0,0,0.052
"55",64,0,0,0,0.055
"56",65,0,0.001,0,0.054
"57",66,0,0.001,0,0.049
"58",67,0,0.001,0,0.049
"59",68,0,0.001,0,0.046
"60",69,0,0.001,0,0.046
"61",70,0,0.001,0,0.048
"62",71,0,0.001,0,0.051
"63",72,0,0.002,0,0.048
"64",73,0,0.002,0,0.053
"65",74,0,0.002,0,0.049
"66",75,0,0.001,0,0.052
"67",76,0,0.001,0,0.055
"68",77,0,0,0,0.056
"69",78,0,0,0,0.053
"70",79,0,0.001,0,0.056
"71",80,0,0,0,0.053
"72",81,0,0.001,0,0.058
"73",82,0,0.001,0,0.062
"74",83,0,0.001,0,0.06
"75",84,0,0.001,0,0.06
"76",85,0,0.001,0,0.058
"77",86,0,0.001,0,0.055
"78",87,0,0.001,0,0.057
"79",88,0,0.001,0,0.058
"80",89,0,0.001,0,0.06
"81",90,0,0.001,0,0.057
"82",91,0,0.001,0,0.059
"83",92,0,0.001,0,0.056
"84",93,0,0.001,0,0.054
"85",94,0,0.001,0,0.053
"86",95,0,0.001,0,0.053
"87",96,0,0.001,0,0.053
"88",97,0,0.001,0,0.058
"89",98,0,0.001,0,0.053
"90",99,0,0.001,0,0.056
"91",100,0,0.001,0,0.055
