"","sample_size","CS","CS_relaxed","Hoeff","Cheb","Gauss"
"1",10,0,0.021,0.001,0,0.117
"2",11,0,0.01,0.001,0,0.064
"3",12,0,0.034,0.006,0,0.034
"4",13,0,0.019,0.002,0,0.081
"5",14,0,0.015,0.001,0,0.056
"6",15,0,0.007,0.007,0,0.118
"7",16,0,0.021,0.005,0,0.082
"8",17,0,0.013,0.005,0,0.049
"9",18,0,0.011,0.011,0,0.089
"10",19,0,0.004,0.004,0,0.06
"11",20,0,0.009,0.004,0,0.036
"12",21,0,0.006,0.006,0,0.075
"13",22,0,0.005,0.005,0,0.054
"14",23,0,0.004,0.004,0,0.09
"15",24,0,0.011,0.011,0,0.066
"16",25,0,0.007,0.007,0,0.046
"17",26,0,0.002,0.013,0,0.076
"18",27,0,0.008,0.008,0,0.057
"19",28,0,0.004,0.004,0,0.093
"20",29,0,0.002,0.009,0,0.06
"21",30,0,0.005,0.005,0,0.04
"22",31,0,0.004,0.004,0,0.071
"23",32,0,0.003,0.009,0,0.049
"24",33,0,0.005,0.005,0,0.076
"25",34,0,0.003,0.008,0,0.056
"26",35,0,0.003,0.007,0,0.043
"27",36,0,0.002,0.005,0,0.07
"28",37,0,0.002,0.008,0,0.049
"29",38,0,0.002,0.004,0,0.071
"30",39,0,0.001,0.007,0,0.052
"31",40,0,0.003,0.006,0,0.078
"32",41,0,0.002,0.004,0,0.062
"33",42,0,0.002,0.007,0,0.037
"34",43,0,0.002,0.005,0,0.064
"35",44,0,0.002,0.003,0,0.047
"36",45,0,0.002,0.008,0,0.072
"37",46,0,0.003,0.006,0,0.052
"38",47,0,0.002,0.008,0,0.036
"39",48,0,0.002,0.007,0,0.061
"40",49,0,0.002,0.003,0,0.044
"41",50,0,0.001,0.005,0,0.061
"42",51,0,0.001,0.004,0,0.05
"43",52,0,0,0.007,0,0.069
"44",53,0,0,0.004,0,0.056
"45",54,0,0,0.009,0,0.04
"46",55,0,0,0.003,0,0.059
"47",56,0,0,0.001,0,0.042
"48",57,0,0,0.003,0,0.065
"49",58,0,0,0.002,0,0.046
"50",59,0,0,0.004,0,0.074
"51",60,0,0.001,0.002,0,0.057
"52",61,0,0,0.002,0,0.076
"53",62,0,0,0.002,0,0.062
"54",63,0,0,0.002,0,0.046
"55",64,0,0,0.006,0,0.062
"56",65,0,0.001,0.004,0,0.045
"57",66,0,0.001,0.004,0,0.06
"58",67,0,0.001,0.004,0,0.049
"59",68,0,0.002,0.004,0,0.068
"60",69,0,0.002,0.005,0,0.051
"61",70,0,0.002,0.004,0,0.037
