"","sample_size","CS","CS_relaxed","Cheb","Gauss"
"1",10,1000,972,1000,915
"2",11,1000,975,1000,917
"3",12,1000,981,1000,918
"4",13,1000,985,1000,921
"5",14,1000,983,1000,924
"6",15,1000,981,1000,931
"7",16,1000,988,1000,934
"8",17,999,986,1000,925
"9",18,998,992,1000,932
"10",19,998,995,1000,931
"11",20,999,994,1000,923
"12",21,999,994,1000,928
"13",22,999,995,1000,933
"14",23,999,996,1000,936
"15",24,999,992,1000,933
"16",25,999,994,1000,934
"17",26,999,995,1000,940
"18",27,1000,995,1000,940
"19",28,1000,996,1000,940
"20",29,1000,996,1000,939
"21",30,1000,996,1000,939
"22",31,1000,997,1000,940
"23",32,1000,997,1000,946
"24",33,1000,998,1000,944
"25",34,1000,998,1000,937
"26",35,1000,999,1000,948
"27",36,1000,999,1000,950
"28",37,1000,999,1000,948
"29",38,1000,999,1000,951
"30",39,1000,999,1000,949
"31",40,1000,999,1000,948
"32",41,1000,1000,1000,947
"33",42,1000,1000,1000,951
"34",43,1000,999,1000,956
"35",44,1000,999,1000,956
"36",45,1000,999,1000,953
"37",46,1000,999,1000,955
"38",47,1000,999,1000,952
"39",48,1000,999,1000,951
"40",49,1000,999,1000,953
"41",50,1000,999,1000,957
"42",51,1000,999,1000,947
"43",52,1000,999,1000,947
"44",53,1000,999,1000,950
"45",54,1000,1000,1000,948
"46",55,1000,1000,1000,946
"47",56,1000,1000,1000,947
"48",57,1000,1000,1000,947
"49",58,1000,1000,1000,948
"50",59,1000,1000,1000,950
"51",60,1000,1000,1000,947
"52",61,1000,1000,1000,944
"53",62,1000,1000,1000,948
"54",63,1000,1000,1000,948
"55",64,1000,1000,1000,945
"56",65,1000,999,1000,946
"57",66,1000,999,1000,951
"58",67,1000,999,1000,951
"59",68,1000,999,1000,954
"60",69,1000,999,1000,954
"61",70,1000,999,1000,952
"62",71,1000,999,1000,949
"63",72,1000,998,1000,952
"64",73,1000,998,1000,947
"65",74,1000,998,1000,951
"66",75,1000,999,1000,948
"67",76,1000,999,1000,945
"68",77,1000,1000,1000,944
"69",78,1000,1000,1000,947
"70",79,1000,999,1000,944
