"","sample_size","CS","CS_relaxed","Hoeff","Cheb","Gauss"
"1",10,1000,979,999,1000,883
"2",11,1000,990,999,1000,936
"3",12,1000,966,994,1000,966
"4",13,1000,981,998,1000,919
"5",14,1000,985,999,1000,944
"6",15,1000,993,993,1000,882
"7",16,1000,979,995,1000,918
"8",17,1000,987,995,1000,951
"9",18,1000,989,989,1000,911
"10",19,1000,996,996,1000,940
"11",20,1000,991,996,1000,964
"12",21,1000,994,994,1000,925
"13",22,1000,995,995,1000,946
"14",23,1000,996,996,1000,910
"15",24,1000,989,989,1000,934
"16",25,1000,993,993,1000,954
"17",26,1000,998,987,1000,924
"18",27,1000,992,992,1000,943
"19",28,1000,996,996,1000,907
"20",29,1000,998,991,1000,940
"21",30,1000,995,995,1000,960
"22",31,1000,996,996,1000,929
"23",32,1000,997,991,1000,951
"24",33,1000,995,995,1000,924
"25",34,1000,997,992,1000,944
"26",35,1000,997,993,1000,957
"27",36,1000,998,995,1000,930
"28",37,1000,998,992,1000,951
"29",38,1000,998,996,1000,929
"30",39,1000,999,993,1000,948
"31",40,1000,997,994,1000,922
"32",41,1000,998,996,1000,938
"33",42,1000,998,993,1000,963
"34",43,1000,998,995,1000,936
"35",44,1000,998,997,1000,953
"36",45,1000,998,992,1000,928
"37",46,1000,997,994,1000,948
"38",47,1000,998,992,1000,964
"39",48,1000,998,993,1000,939
"40",49,1000,998,997,1000,956
"41",50,1000,999,995,1000,939
"42",51,1000,999,996,1000,950
"43",52,1000,1000,993,1000,931
"44",53,1000,1000,996,1000,944
"45",54,1000,1000,991,1000,960
"46",55,1000,1000,997,1000,941
"47",56,1000,1000,999,1000,958
"48",57,1000,1000,997,1000,935
"49",58,1000,1000,998,1000,954
"50",59,1000,1000,996,1000,926
"51",60,1000,999,998,1000,943
"52",61,1000,1000,998,1000,924
"53",62,1000,1000,998,1000,938
"54",63,1000,1000,998,1000,954
"55",64,1000,1000,994,1000,938
"56",65,1000,999,996,1000,955
"57",66,1000,999,996,1000,940
"58",67,1000,999,996,1000,951
"59",68,1000,998,996,1000,932
"60",69,1000,998,995,1000,949
"61",70,1000,998,996,1000,963
"62",71,1000,998,992,1000,947
"63",72,1000,998,995,1000,961
"64",73,1000,998,996,1000,944
"65",74,1000,999,991,1000,958
"66",75,1000,999,994,1000,936
"67",76,1000,998,990,1000,953
"68",77,1000,999,993,1000,935
"69",78,1000,999,989,1000,949
"70",79,1000,999,991,1000,962
"71",80,1000,999,996,1000,953
"72",81,1000,999,994,1000,960
"73",82,1000,999,995,1000,948
"74",83,1000,999,990,1000,958
"75",84,1000,999,992,1000,946
"76",85,1000,999,992,1000,956
"77",86,1000,999,990,1000,944
"78",87,1000,999,990,1000,955
"79",88,1000,999,989,1000,964
"80",89,1000,998,990,1000,955
"81",90,1000,998,988,1000,966
"82",91,1000,999,989,1000,951
"83",92,1000,999,990,1000,964
"84",93,1000,999,988,1000,946
"85",94,1000,998,990,1000,960
"86",95,1000,998,986,1000,951
"87",96,1000,999,987,1000,959
"88",97,1000,998,984,1000,964
"89",98,1000,999,987,1000,952
"90",99,1000,1000,988,1000,958
"91",100,1000,1000,985,1000,948
"92",101,1000,1000,985,1000,955
"93",102,1000,1000,985,1000,942
"94",103,1000,1000,986,1000,948
"95",104,1000,1000,982,1000,942
"96",105,1000,1000,986,1000,948
"97",106,1000,1000,981,1000,940
"98",107,1000,1000,984,1000,945
"99",108,1000,1000,987,1000,955
"100",109,1000,1000,985,1000,945
"101",110,1000,1000,988,1000,958
"102",111,1000,1000,985,1000,945
"103",112,1000,1000,987,1000,955
"104",113,1000,1000,985,1000,943
"105",114,1000,1000,989,1000,949
"106",115,1000,999,991,1000,940
"107",116,1000,999,988,1000,950
"108",117,1000,999,992,1000,939
"109",118,1000,999,986,1000,950
"110",119,1000,999,990,1000,958
"111",120,1000,999,988,1000,945
"112",121,1000,999,990,1000,953
"113",122,1000,999,991,1000,944
"114",123,1000,999,989,1000,953
"115",124,1000,999,990,1000,942
"116",125,1000,999,987,1000,953
"117",126,1000,999,992,1000,935
"118",127,1000,999,988,1000,947
"119",128,1000,999,990,1000,939
"120",129,1000,999,987,1000,951
"121",130,1000,999,989,1000,964
"122",131,1000,999,991,1000,946
"123",132,1000,999,989,1000,959
"124",133,1000,1000,990,1000,942
"125",134,1000,1000,989,1000,953
"126",135,1000,1000,991,1000,942
"127",136,1000,1000,989,1000,951
"128",137,1000,1000,992,1000,936
"129",138,1000,1000,990,1000,950
"130",139,1000,1000,991,1000,935
"131",140,1000,1000,994,1000,944
"132",141,1000,1000,993,1000,955
"133",142,1000,1000,994,1000,939
"134",143,1000,1000,991,1000,957
"135",144,1000,1000,993,1000,938
"136",145,1000,1000,991,1000,954
"137",146,1000,1000,992,1000,939
"138",147,1000,1000,991,1000,948
"139",148,1000,1000,993,1000,939
"140",149,1000,1000,993,1000,950
"141",150,1000,1000,992,1000,938
"142",151,1000,1000,993,1000,951
"143",152,1000,1000,992,1000,940
"144",153,1000,1000,993,1000,951
"145",154,1000,1000,992,1000,959
"146",155,1000,1000,993,1000,944
"147",156,1000,1000,992,1000,958
"148",157,1000,1000,992,1000,949
"149",158,1000,1000,993,1000,955
"150",159,1000,1000,992,1000,946
"151",160,1000,1000,994,1000,953
"152",161,1000,1000,993,1000,946
"153",162,1000,1000,993,1000,956
"154",163,1000,1000,992,1000,948
"155",164,1000,1000,992,1000,961
"156",165,1000,1000,992,1000,947
"157",166,1000,1000,993,1000,953
"158",167,1000,1000,995,1000,961
"159",168,1000,1000,994,1000,955
"160",169,1000,1000,996,1000,961
"161",170,1000,1000,995,1000,950
"162",171,1000,1000,995,1000,959
"163",172,1000,1000,995,1000,944
"164",173,1000,1000,995,1000,953
"165",174,1000,1000,995,1000,939
"166",175,1000,1000,995,1000,951
"167",176,1000,1000,995,1000,939
"168",177,1000,1000,995,1000,949
"169",178,1000,1000,996,1000,940
"170",179,1000,1000,995,1000,950
"171",180,1000,1000,995,1000,959
"172",181,1000,1000,995,1000,947
"173",182,1000,1000,995,1000,957
"174",183,1000,1000,995,1000,949
"175",184,1000,1000,996,1000,961
"176",185,1000,1000,994,1000,951
"177",186,1000,1000,994,1000,957
"178",187,1000,1000,995,1000,947
"179",188,1000,1000,995,1000,958
"180",189,1000,1000,995,1000,947
"181",190,1000,1000,994,1000,956
"182",191,1000,1000,994,1000,946
